Rennersdorf,Germany,Rennersdorf,Germany,51.018263353482304, 14.788799285888672,manwoman;
Rauscha,Germany,Ruszów,Poland,51.412793, 15.17469,man;
Sackisch,Germany,Zakrze,Poland,50.43333, 16.25,woman;
Schatzlar,Germany,Zaclér,Czech Republic,50.66447857675186, 15.90871810913086,woman;
Schlesiersee,Germany,Sława,Poland,51.882271, 16.078831,manwoman;
St. Georgenthal,Germany,Jiřetín pod Jedlovou,Czech Republic,50.994743117903376, 14.566154479980469,woman;
Säuferwasser [Tal des Baches Klobia] (Riese) / Kaltwasser,Germany,Zimna,Poland,50.433,14.317,Poland,man;
Tannhausen und Zentralrevier (Riese),Germany,Jedlinka,Poland,50.7,16.37,man;
Treskau,Germany,Owińska,Poland,52.51, 16.98,man;
Waldenburg,Germany,Walbrzych,Poland,50.779998, 16.28,man;	 
Weißwasser / Lausitz,Germany,Weißwasser,Germany,51.502306, 14.634685,woman;
Weißwasser / Mähren,Germany,Bila Voda,Czech Republic,50.02009371923324, 16.746082305908203,woman;
Wiesau,Germany,Łąka,Poland,51.29928148078778, 15.57063102722168,woman;
Wolfsberg / Wüstewaltersdorf (Riese),Germany,Walim,Poland,50.698197366045555, 16.441726684570312,man;
Wüstenröhrsdorf (Gräfisch-Röhrsdorf),Germany,Rędziny,Poland,50.68, 19.86,woman;
Wüstewaltersdorf (Riese),Germany,Walim,Poland,50.698197366045555, 16.441726684570312,manwoman;
Wüstegiersdorf (Riese),Germany,Głuszyca,Poland,50.66, 16.38,manwoman;
Zillerthal-Erdmannsdorf,Germany,Mysłakowice,Poland,50.85, 15.77,woman;
